Time (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),B_North (nT),B_East (nT),B_Down (nT),RollTorque (Nm),PitchTorque (Nm),YawTorque (Nm),OmegaX (rad/s),OmegaY (rad/s),OmegaZ (rad/s),Power (Watt)
590,-5.435735751715837,-2.271256873268739,3.2549180415096877,0.004525903718764706,-0.004030928837458423,0.0047449957527289045,2.2114237464439685e-05,4.965273484424281e-06,2.5173323109174142e-05,1.267981857406046e-06,-9.580590099845147e-06,-8.312608242439101e-06,0.19865376651297822,0.09867621406098567,0.2986537665129782,0
600,-5.390122485189455,-2.3114168611977632,3.3021536378812795,0.004596649654082982,-0.004000981511493002,0.004702020679294316,2.1989712201321354e-05,4.9620598921556415e-06,2.5608559902722564e-05,-1.0658898394823021e-05,6.109032360214269e-06,-4.549866034608751e-06,0.19858498038070763,0.09862737348548574,0.2985849803807076,0
610,-5.343804772584961,-2.351274765416239,3.3489564077964227,0.004666791406909883,-0.003970512763062603,0.004658431418752995,2.186341594125601e-05,4.958380495491124e-06,2.6040441710531695e-05,-9.891611286292185e-06,-8.684328162875292e-06,-1.2072831234168928e-06,0.19857195970511715,0.098598201338295,0.29857195970511713,0
620,-5.2967887014138615,-2.3908253918427613,3.395320238234958,0.004736319853737686,-0.0039395266319792975,0.004614233754407875,2.173538749987994e-05,4.954222869724866e-06,2.646891196846989e-05,-2.801905273396827e-06,7.698148727562866e-06,-1.0500054000959694e-05,0.19849185431900182,0.09861262530981119,0.29849185431900177,0
630,-5.2490804500065105,-2.430063587127949,3.4412390744019867,0.0048052259544933695,-0.00390802722473611,0.004569433547867388,2.1605666831364114e-05,4.949574160282936e-06,2.689391455575345e-05,-7.597569869650228e-06,-7.597569869650228e-06,-9.7024874640901e-07,0.19845672506935566,0.09853835595232277,0.2984567250693556,0
640,-5.200686286672127,-2.4689842393182455,3.4867069205066947,0.004873500753665829,-0.0038760187139040806,0.004524036738197445,2.147429505685498e-05,4.94442107492442e-06,2.7315393802412563e-05,2.0388806974202468e-07,-9.301247222313648e-06,-9.097359152571623e-06,0.19841439803217456,0.0985451987765603,0.29841439803217457,0
650,-5.151612568847571,-2.507582278513656,3.531717840532644,0.004941135381418621,-0.0038435053375217663,0.0044780493410649285,2.134131449394637e-05,4.938749876276992e-06,2.773329449670633e-05,-1.095906026622139e-05,5.324366640268411e-06,-5.63469362595298e-06,0.19834041312791487,0.09850202516021365,0.298340413127915,0
660,-5.101865742235127,-2.545852677519336,3.5762659589994747,0.005008121054688195,-0.003810491398477329,0.004431477447872854,2.12067686871853e-05,4.932546374773701e-06,2.814756189248438e-05,-1.0514671727565294e-05,-8.229379350764608e-06,-2.2852923768006865e-06,0.19831804915702736,0.0984708846787014,0.29831804915702753,0
670,-5.051452339929322,-2.58379045249097,3.6203454617159014,0.005074449078267504,-0.0037769812638833626,0.004384327224887404,2.1070702439610727e-05,4.925795922064135e-06,2.8558141716495384e-05,-3.884601304139661e-06,7.139407026672143e-06,-1.1024008330811804e-05,0.19823301963589623,0.09848118765999432,0.29823301963589643,0
680,-5.000378981533014,-2.621390663573858,3.6639505965239505,0.005140110845874971,-0.0037429793644446086,0.004336604912357078,2.093316184531813e-05,4.918483404979303e-06,2.896498017564034e-05,-7.933605797739001e-06,-9.843359293082669e-06,-1.9097534953436695e-06,0.1981905976893246,0.09840615611443422,0.29819059768932477,0
690,-4.94865237226285,-2.6586484155356476,3.7070756740343445,0.005205097841208715,-0.0037084901938187016,0.004288316823624055,2.0794194323036863e-05,4.910593240136393e-06,2.936802396416997e-05,-8.953436147191534e-07,-8.915407338347101e-06,-9.810750953066254e-06,0.1981416255638005,0.09840646877578295,0.2981416255638008,0
700,-4.896279302044258,-2.6955588583926384,3.749715068352966,0.005269401638985988,-0.0036735183079700984,0.00423946934422805,2.0653848650700373e-05,4.9021093692767295e-06,2.9767220270824612e-05,-1.1173547363925244e-05,4.446747279742985e-06,-6.726800084182258e-06,0.1980629657218382,0.09836230433419685,0.29806296572183866,0
710,-4.843266644596123,-2.732117188029591,3.7918632177983205,0.005333013905967797,-0.003638068324517345,0.004190068931002808,2.0512175000981543e-05,4.893015255437674e-06,3.016251678591602e-05,-1.1044801304757256e-05,-7.692550363289915e-06,-3.352250941467341e-06,0.1980311583097169,0.09832935207508811,0.2980311583097173,0
720,-4.7896213565052905,-2.7683186468129786,3.833514625609929,0.00539592640196863,-0.0036021449220738047,0.0041401221111654314,2.0369224977756505e-05,4.883293880066939e-06,3.055386170834941e-05,-5.007686202596277e-06,6.464451591132077e-06,-1.1472137793728353e-05,0.1979417908605943,0.09833514333554952,0.2979417908605948,0
730,-4.735350476291039,-2.8041585241976104,3.8746638606475803,0.005458130980851272,-0.003565752839582021,0.004089635481398721,2.022505165345068e-05,4.8729277411958155e-06,3.094120375258477e-05,-7.708263617133822e-06,-1.0642669283387376e-05,-2.934405666253554e-06,0.19789278310471783,0.09826142490610072,0.29789278310471834,0
740,-4.680461123459692,-2.8396321573265704,3.9153055580813723,0.005519619591506655,-0.003528896875641833,0.004038615706926732,2.0079709607209675e-05,4.861898852796158e-06,3.132449215553631e-05,-1.9884550496512896e-06,-8.422904392267803e-06,-1.0411359441919092e-05,0.1978329220930732,0.09826163975147652,0.2978329220930737,0
750,-4.62496049754949,-2.874734931624405,3.9554344200724696,0.0055803842788187214,-0.0034915818878324097,0.003987069520583717,1.993325496382592e-05,4.850188745454407e-06,3.170367668340896e-05,-1.1310718517990221e-05,3.478956301872916e-06,-7.831762216117307e-06,0.19775021445484733,0.09821673906587637,0.2977502144548478,0
760,-4.568855877165914,-2.9094622813835014,3.9950452164445287,0.005640417184614272,-0.003453812792028332,0.0039350037218766265,1.9785745433338335e-05,4.837778468504563e-06,3.207870763847028e-05,-1.1454651384192903e-05,-7.100552705115995e-06,-4.3540986790769076e-06,0.19770909720176347,0.09818208382319125,0.297709097201764,0
770,-4.512154619007559,-2.943809690343599,4.03413278534571,0.005699710548597771,-0.003415594561709864,0.0038824251760413778,1.963724035120784e-05,4.824648593770878e-06,3.244953586575737e-05,-6.185706015802817e-06,5.658948342486066e-06,-1.1844654358288883e-05,0.19761601549485547,0.0981829125117157,0.297616015494856,0
780,-4.454864156882741,-2.9777726922643732,4.0726920339012205,0.005758256709271086,-0.003376932227267561,0.0038293408130930366,1.948780071895554e-05,4.810779221079635e-06,3.281611275971689e-05,-7.2756748725416945e-06,-1.1356770313441246e-05,-4.0810954408995525e-06,0.19755810703044294,0.0981130411281011,0.29755810703044344,0
790,-4.396992000717002,-3.011346871491036,4.110717938856336,0.005816048104838164,-0.0033378308753013422,0.003775757626870104,1.933748924513287e-05,4.796149985708245e-06,3.3178390270777677e-05,-3.0294178682960767e-06,-7.823553853981134e-06,-1.085297172227721e-05,0.1974924120322588,0.098106113285342,0.2974924120322593,0
800,-4.33854573555162,-3.044527863512908,4.148205547209832,0.005873077274094607,-0.0032982956479141803,0.003721682674073083,1.9186370386473833e-05,4.780740067948166e-06,3.353632091185381e-05,-1.1376365946911587e-05,2.4262916016411983e-06,-8.950074345270389e-06,0.19740641572407178,0.09806067342957923,0.2974064157240723,0
810,-4.279533020533309,-3.07731135551489,4.185149976837765,0.005929336857302164,-0.0032583317420005298,0.003667123073297491,1.903451038905958e-05,4.764528204966725e-06,3.388985776477861e-05,-1.170991953136229e-05,-6.480626844888498e-06,-5.229292686473794e-06,0.19735641139160548,0.09802326633457167,0.29735641139160596,0
820,-4.219961587895247,-3.1096930869217996,4.221546417107582,0.00598481959704812,-0.003217944408529635,0.0036120860040614886,1.8881977329302293e-05,4.7474927051602095e-06,3.423895448666652e-05,-7.4238465833103834e-06,4.7095974847328965e-06,-1.213344406804328e-05,0.1972603391701762,0.09801145609890302,0.29726033917017675,0
830,-4.1598392419295855,-3.141668849935518,4.25739012948245,0.006039518339089599,-0.0031771389518238558,0.003556578705828295,1.8728841154532618e-05,4.729611465198191e-06,3.458356531620305e-05,-6.57621266675864e-06,-1.1953715206663381e-05,-5.377502539904741e-06,0.19719994734240123,0.09794384224940463,0.29719994734240174,0
840,-4.099173857951597,-3.17323449006489,4.292676448115799,0.006093426033182755,-0.003135920728832132,0.003500608477023553,1.857517372294893e-05,4.710861989965219e-06,3.492364507986124e-05,-3.961627735208789e-06,-7.1150902134153306e-06,-1.107671794862412e-05,0.197126384127027,0.09793739758679762,0.29712638412702747,0
